88
247	186
201	186
0	162
58	234
102	259
95	332
87	455
65	235
169	297
205	297
54	248
95	383
87	421
164	368
165	350
295	290
361	304
479	471
398	377
378	370
333	444
253	430
253	401
199	414
247	315
348	240
377	382
436	408
453	371
470	334
487	297
484	334
481	371
478	408
490	250
547	284
563	309
568	330
509	428
568	402
590	364
584	313
629	328
646	325
658	362
676	423
624	462
531	462
570	385
694	127
654	753
685	358
877	251
668	338
722	200
707	359
708	486
803	478
786	368
848	346
910	324
923	230
827	205
829	339
827	475
880	451
898	393
927	374
956	355
985	336
1002	67
898	270
924	336
939	390
959	447
992	426
1016	384
1010	327
1107	213
1049	102
1024	362
1040	476
1037	373
1053	350
1172	300
1069	350
897	452
1302	476
